ID,Email,Password Hash,Role,Name,Phone,Created At,Is Active,Clerk ID
cmjt8vk5o0000mno0xe53nrit,test@test.com,$2a$12$OVep6WPsJOHXmRkqDx4LM.gMG9kUx29H92EC7ZJkJut9cTaORnC7u,ARTIST,test test,+33 245678909,2025-12-30 23:55:02.986,true,
cmjoz1t6j0049b24m824mj0vn,ushuaia.ibiza@example.com,$2a$12$xdHRDMwsUX/9EIOk.U3t6eJxq2/79QJGplIg5o1e4UNb.fao45Pru,HOTEL,Ushuaïa Ibiza,,2025-12-28 00:08:53.755,true,
cmjoz1rg80044b24mb8vybw2o,plaza.newyork@example.com,$2a$12$F1hz83.7dBwNnTVT8H45E.SAIFvhh4opAxReMjAaMvZI6IecFyYYy,HOTEL,The Plaza New York,,2025-12-28 00:08:51.512,true,
cmjoz1q1q003zb24mg5epd76x,aman.tokyo@example.com,$2a$12$wQDn8piN7H.rm/vxy2WzY.aLcyWYR/BXRQD.VZshJu7SP8JPwIH2i,HOTEL,Aman Tokyo,,2025-12-28 00:08:49.694,true,
cmjoz1on5003ub24mqe2k7rac,ritz.paris@example.com,$2a$12$CF.xdyXADU3HJnJOipTy8epRBv/bOJk9AcFunTFkeBDvzEuTC/YVy,HOTEL,The Ritz Paris,,2025-12-28 00:08:47.873,true,
cmjoz1n66003nb24m7p64kabc,david.kim@example.com,$2a$12$zbFh2aDIk52rnDyqCA4FH.9BV4zBzKV5UFejFtoCif/go7jo99l7e,ARTIST,David Kim,,2025-12-28 00:08:45.966,true,
cmjoz1lq3003gb24minfddr7x,sophie.laurent@example.com,$2a$12$cNlSn7OcySy8qRox.CSYLuto.qQB0XmZrIMpSEAIAApehsNQ2tNO6,ARTIST,Sophie Laurent,,2025-12-28 00:08:44.091,true,
cmjoz1jxu0039b24mbk0eyiod,marcus.chen@example.com,$2a$12$jdefE5vIwnZ8i1IMhjHTceC9e.Zm/4fvt/XnmRsAPblFkt4Vx9gWm,ARTIST,Marcus Chen,,2025-12-28 00:08:41.778,true,
cmjoz1i8g0032b24mncl27ru8,elena.rodriguez@example.com,$2a$12$CQYSBZCagmlJqbS2S7NTOuZbzBlE.TFulexMW8wEzIBiLP1zb9Uo.,ARTIST,Elena Rodriguez,,2025-12-28 00:08:39.568,true,
cmjoz1f6j002hb24mirb7kjfu,artist10@example.com,$2a$12$zKskSdkUipi2doRaPhMJx.Wje8artqSW4i.pxeOgjFt7LXlYnyKuW,ARTIST,Sarah Johnson,,2025-12-28 00:08:35.612,true,
